datetime,temp_2m,pm10,no2,co,o3
2018-01-07 12:00:00,281.57715,3.4378946e-08,1.3572151e-08,2.0766201e-07,2.8312554e-08
2018-01-07 15:00:00,281.8435,2.637568e-08,1.2198057e-08,1.8651592e-07,2.9219882e-08
2018-01-07 18:00:00,280.76392,2.8380867e-08,1.7068476e-08,2.0372401e-07,1.8646363e-08
2018-01-07 21:00:00,280.35083,2.958377e-08,1.9859112e-08,2.187637e-07,1.7263506e-08
2018-01-08 00:00:00,280.3042,3.1426364e-08,1.6760291e-08,1.9904537e-07,2.8707541e-08
2018-01-08 03:00:00,280.21582,3.575628e-08,2.055988e-08,2.1542908e-07,2.3820004e-08
2018-01-08 06:00:00,280.26147,3.902388e-08,2.3522924e-08,2.4828623e-07,1.6237749e-08
2018-01-08 09:00:00,281.1023,3.333282e-08,1.4683222e-08,2.4790458e-07,2.5739633e-08
2018-01-08 12:00:00,282.78467,4.1355467e-08,1.1914014e-08,1.964396e-07,3.188331e-08
2018-01-08 15:00:00,281.87915,4.1451912e-08,1.1697167e-08,1.7888453e-07,3.317371e-08
2018-01-08 18:00:00,282.2622,4.1776694e-08,1.200251e-08,1.7573556e-07,3.4433242e-08
2018-01-08 21:00:00,282.2461,4.1129436e-08,1.1316081e-08,1.687508e-07,3.9537962e-08
2018-01-09 00:00:00,282.43213,4.8774382e-08,9.328578e-09,1.5465564e-07,4.5330285e-08
2018-01-09 03:00:00,281.5337,3.9244334e-08,1.3787001e-08,1.8173952e-07,3.598338e-08
2018-01-09 06:00:00,280.79688,3.2759573e-08,1.5908793e-08,2.1125452e-07,2.7387403e-08
2018-01-09 09:00:00,280.48145,2.7737332e-08,1.1030446e-08,1.965306e-07,3.2061195e-08
2018-01-09 12:00:00,281.16235,1.9915671e-08,8.518722e-09,1.7527688e-07,3.392799e-08
2018-01-09 15:00:00,280.73657,2.5574082e-08,9.682137e-09,1.7396432e-07,3.2669867e-08
2018-01-09 18:00:00,279.77783,3.5065458e-08,2.0504116e-08,2.2904679e-07,1.4029726e-08
2018-01-09 21:00:00,279.43555,4.372533e-08,2.4281757e-08,2.7804415e-07,1.160139e-08
2018-01-10 00:00:00,278.74463,4.8909218e-08,3.481569e-08,3.3297476e-07,4.5868433e-09
2018-01-10 03:00:00,278.562,5.875769e-08,3.552961e-08,4.4727778e-07,2.2104698e-09
2018-01-10 06:00:00,277.97827,6.039403e-08,3.0282038e-08,5.254354e-07,5.8502763e-09
2018-01-10 09:00:00,278.29688,4.7495522e-08,2.5637329e-08,4.1881893e-07,9.78591e-09
2018-01-10 12:00:00,279.8838,1.5852137e-08,7.042942e-09,1.9866545e-07,3.8595797e-08
2018-01-10 15:00:00,279.52344,1.5060987e-08,7.4458613e-09,1.7907236e-07,3.9547757e-08
2018-01-10 18:00:00,277.9519,3.7620204e-08,2.39894e-08,3.1040025e-07,3.390118e-09
2018-01-10 21:00:00,277.8584,4.784771e-08,2.6179022e-08,4.4836426e-07,9.999999e-15
2018-01-11 00:00:00,277.24658,4.9823218e-08,3.0285854e-08,4.403642e-07,2.2795174e-10
2018-01-11 03:00:00,277.04468,5.775016e-08,2.9620555e-08,5.472797e-07,4.5176146e-12
2018-01-11 06:00:00,275.6416,6.098168e-08,3.0155114e-08,6.3324603e-07,6.188084e-12
2018-01-11 09:00:00,276.89478,5.2989783e-08,2.793742e-08,5.875544e-07,5.208212e-09
2018-01-11 12:00:00,279.68628,3.464426e-08,1.4484211e-08,2.4055188e-07,3.969093e-08
2018-01-11 15:00:00,280.55078,3.1581283e-08,1.430942e-08,2.2159598e-07,3.5008778e-08
2018-01-11 18:00:00,278.27637,5.4356025e-08,2.5096098e-08,3.6009098e-07,4.321133e-09
2018-01-11 21:00:00,276.3042,6.671104e-08,2.6185777e-08,4.8964e-07,1.6813522e-09
